"year","industry_section","industry_division","industry_class","establishment_count","average_age","average_wage","wage","jobs","average_establishment_size","ID CNAE","color","icon"
2010,"Indústrias de Transformação","Produtos Alimentícios","Fabricação de massas alimentícias",6,31,"959.87",101747,106,17,"10945","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2010,"Alojamento e Alimentação","Alojamento","Outros tipos de alojamento",14,34,"620.6","34753.78",56,4,"55906","#FFC41C","/static/img/icons/industry_section/industry_section_i.png"
2010,"Educação","Educação","Ensino médio",2,39,"615.07","30753.62",50,25,"85201","#d66011","/static/img/icons/industry_section/industry_section_p.png"
2010,"Atividades Administrativas","Serviços para Edifícios","Condomínios prediais",16,35,"1133.95","136074.15",120,7,"81125","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2010,"Comércio","Comércio Varejista","Varejo de GLP",8,35,"1528.76","90196.85",59,7,"47849","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2010,"Informação e Comunicação","Edição e impressão","Edição de cadastros, listas e outros produtos gráficos",3,30,"1380.41","19325.87",14,4,"58298","#57D200","/static/img/icons/industry_section/industry_section_j.png"
2010,"Indústrias de Transformação","Impressão e Reprodução de Gravações","Serviços de pré-impressão",3,31,"768.02","7680.2",10,3,"18211","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2010,"Indústrias de Transformação","Produtos de metal","Fabricação de outros produtos de metal",9,29,"973.75","51609.15",53,5,"25993","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2010,"Serviços Especializados","Outras atividades profissionais","Outras atividades profissionais, científicas e técnicas",1,32,"1536.52","1536.52",1,1,"74901","#cc0000","/static/img/icons/industry_section/industry_section_m.png"
2010,"Comércio","Comércio Atacadista","Atacado de equipamentos e artigos de uso doméstico",12,29,"1061.1","94438.22",89,7,"46494","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2010,"Comércio","Comércio Atacadista","Atacado de produtos alimentícios em geral",9,31,"975.24","61440.62",63,7,"46397","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2010,"Comércio","Comércio de Veículos Automotores","Manutenção de motocicletas",2,23,"923.59","4617.99",5,2,"45439","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2010,"Comércio","Comércio de Veículos Automotores","Atacado e varejo de motocicletas, peças e acessórios",14,29,"1280.97","138345.03",108,7,"45412","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2010,"Construção","Serviços Especializados para Construção","Outros serviços de preparação do terreno",1,42,"771.42",5400,7,7,"43193","#E87600","/static/img/icons/industry_section/industry_section_f.png"
2010,"Alojamento e Alimentação","Alojamento","Hotéis e similares",18,35,"771.24","86379.36",112,6,"55108","#FFC41C","/static/img/icons/industry_section/industry_section_i.png"
2010,"Transporte e correio","Atividades Auxiliares dos Transportes","Outras atividades auxiliares de transportes terrestres",6,35,"695.1","7646.14",11,1,"52290","#9edae5","/static/img/icons/industry_section/industry_section_h.png"
2010,"Educação","Educação","Educação infantil - pré-escola",14,35,"725.04","101505.88",140,10,"85121","#d66011","/static/img/icons/industry_section/industry_section_p.png"
2010,"Comércio","Comércio Varejista","Varejo de peças e acessórios para aparelhos eletroeletrônicos",6,37,"910.95","7287.67",8,1,"47571","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2010,"Atividades Administrativas","Serviços de Escritório","Serviços de escritório",2,36,"1271.26","12712.6",10,5,"82113","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2010,"Informação e Comunicação","Prestação de Serviços de Informação","Outras atividades de prestação de serviços de informação",5,27,"763.72","74081.66",97,19,"63992","#57D200","/static/img/icons/industry_section/industry_section_j.png"
2010,"Construção","Serviços Especializados para Construção","Obras de fundações",5,34,"870.47","49617.27",57,11,"43916","#E87600","/static/img/icons/industry_section/industry_section_f.png"
2010,"Construção","Obras de Infra-estrutura","Outras obras de engenharia civil",8,36,"949.29","42718.12",45,5,"42995","#E87600","/static/img/icons/industry_section/industry_section_f.png"
2010,"Comércio","Comércio Varejista","Varejo de eletrodomésticos e equipamentos de áudio e vídeo",8,32,"1247.7","46164.9",37,4,"47539","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2010,"Comércio","Comércio Varejista","Hipermercados e supermercados",31,29,"1061.54","1592311.47",1500,48,"47113","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2010,"Comércio","Comércio Varejista","Varejista de outros artigos de uso doméstico",21,32,"986.58",78927,80,3,"47598","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2010,"Agropecuária","Confidential","Atividades de apoio à agricultura",2,42,"430.92","4740.2",11,5,"01610","#105B10","/static/img/icons/industry_section/industry_section_a.png"
2010,"Indústrias de Transformação","Produtos de metal","Fabricação de estruturas metálicas",7,31,"1705.29","216573.08",127,18,"25110","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2010,"Outros Serviços","Reparação e Manutenção de Equipamentos","Manutenção de computadores e periféricos",2,30,"1486.8","4460.4",3,1,"95118","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
