"year","industry_section","industry_division","industry_class","establishment_count","average_age","average_wage","wage","jobs","average_establishment_size","ID CNAE","color","icon"
2008,"Outros Serviços","Reparação e Manutenção de Equipamentos","Manutenção de computadores e periféricos",1,22,690,690,1,1,"95118","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2008,"Outros Serviços","Organizações Associativas","Organizações sindicais",1,31,"1452.5","1452.5",1,1,"94201","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2008,"Serviços Especializados","Publicidade e pesquisa de mercado","Agenciamento de espaços para publicidade",1,23,1125,1125,1,1,"73122","#cc0000","/static/img/icons/industry_section/industry_section_m.png"
2008,"Comércio","Comércio Varejista","Varejo de vidros",1,34,552,552,1,1,"47431","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2008,"Comércio","Comércio Atacadista","Atacado de máquinas e equipamentos para uso industrial",1,19,830,830,1,1,"46630","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2008,"Atividades Administrativas","Serviços para Edifícios","Outras atividades de limpeza",1,66,"286.14","286.14",1,1,"81290","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2009,"Comércio","Comércio Atacadista","Atacado de ferragens e ferramentas",1,19,"383.52","383.52",1,1,"46729","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2009,"Serviços Especializados","Outras atividades profissionais","Outras atividades profissionais, científicas e técnicas",2,32,1070,2140,2,1,"74901","#cc0000","/static/img/icons/industry_section/industry_section_m.png"
2009,"Indústrias de Transformação","Produtos de metal","Fabricação de estruturas metálicas",1,34,0,0,1,1,"25110","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2009,"Comércio","Comércio Atacadista","Atacado de instrumentos e materiais para uso médico",1,33,"1081.84","1081.84",1,1,"46451","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2009,"Indústrias de Transformação","Produtos Alimentícios","Fabricação de conservas de legumes e outros vegetais",1,27,600,600,1,1,"10325","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2009,"Comércio","Comércio Atacadista","Atacado de insumos agropecuários",1,21,738,738,1,1,"46923","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2009,"Atividades Administrativas","Serviços de Escritório","Atividades de cobrança",1,22,"628.37","628.37",1,1,"82911","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2009,"Atividades Administrativas","Serviços de Escritório","Serviços especializados de apoio administrativo",1,29,0,0,1,1,"82199","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2010,"Artes, Cultura e Recreação","Atividades Esportivas e de Recreação","Clubes sociais, esportivos e similares",2,49,"771.26","1542.53",2,1,"93123","#93789e","/static/img/icons/industry_section/industry_section_r.png"
2010,"Atividades Administrativas","Vigilância e Segurança","Atividades de monitoramento de sistemas de segurança",1,35,1020,1020,1,1,"80200","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2010,"Indústrias de Transformação","Produtos Alimentícios","Fabricação de farinha de mandioca",1,35,902,902,1,1,"10635","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
