"year","industry_section","industry_division","industry_class","establishment_count","average_age","average_wage","wage","jobs","average_establishment_size","ID CNAE","color","icon"
2012,"Indústrias de Transformação","Produtos Diversos","Fabricação de artefatos para pesca",11,32,"1239.59","110323.69",89,8,"32302","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2012,"Indústrias de Transformação","Móveis","Fabricação de móveis de madeira",56,33,"1169.32","278298.24",238,4,"31012","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2012,"Serviços Especializados","Atividades veterinárias","Atividades veterinárias",13,30,"1675.46","38535.58",23,1,"75001","#cc0000","/static/img/icons/industry_section/industry_section_m.png"
2012,"Indústrias de Transformação","Produtos Alimentícios","Fabricação de alimentos e pratos prontos",10,31,"954.26","85883.92",90,9,"10961","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2012,"Serviços Especializados","Atividades jurídicas, de contabilidade e de auditoria","Atividades jurídicas",211,30,"1318.52","1050861.31",797,3,"69117","#cc0000","/static/img/icons/industry_section/industry_section_m.png"
2012,"Saúde e serviços sociais","Saúde Humana","Serviços diagnóstico e terapia",82,33,"1685.81","2456231.94",1457,17,"86402","#800000","/static/img/icons/industry_section/industry_section_q.png"
2012,"Alojamento e Alimentação","Alojamento","Hotéis e similares",229,36,"1244.4","3363638.68",2703,11,"55108","#FFC41C","/static/img/icons/industry_section/industry_section_i.png"
2012,"Atividades Administrativas","Serviços de Escritório","Atividades de organização de eventos",73,31,"1294.53","478976.76",370,5,"82300","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2012,"Comércio","Comércio de Veículos Automotores","Manutenção de automóveis",183,34,"1098.65","741589.74",675,3,"45200","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2012,"Comércio","Comércio Varejista","Varejista de outros artigos de uso doméstico",60,33,"1269.41","332586.29",262,4,"47598","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2012,"Outros Serviços","Outras atividades de serviços pessoais","Lavanderias e tinturarias",65,36,"979.93","230284.3",235,3,"96017","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2012,"Indústrias de Transformação","Móveis","Fabricação de móveis de outros materiais",3,32,"883.89","21213.43",24,8,"31039","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2012,"Comércio","Comércio Varejista","Varejo de jóias e relógios",59,33,"1545.88","466858.59",302,5,"47831","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2012,"Transporte e correio","Atividades de Entrega","Atividades de malote e de entrega",25,32,"926.03","193540.59",209,8,"53202","#9edae5","/static/img/icons/industry_section/industry_section_h.png"
2012,"Saúde e serviços sociais","Saúde Humana","Atividades de outros profissionais da área de saúde",81,33,"1390.42","463012.66",333,4,"86500","#800000","/static/img/icons/industry_section/industry_section_q.png"
2012,"Comércio","Comércio de Veículos Automotores","Varejo e atacado de automóveis",83,32,"2330.12","3455569.52",1483,17,"45111","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2012,"Comércio","Comércio Atacadista","Atacado de produtos alimentícios em geral",14,32,"1199.89","289175.14",241,17,"46397","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2012,"Indústrias de Transformação","Produtos Alimentícios","Fabricação de produtos do pescado",6,36,"1051.24","85151.12",81,13,"10201","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
