"year","industry_section","industry_division","industry_class","establishment_count","average_age","average_wage","wage","jobs","average_establishment_size","ID CNAE","color","icon"
2015,"Comércio","Comércio Atacadista","Atacado de cosméticos, perfumaria e higiene pessoal",15,34,"2217.84","727452.32",328,21,"46460","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2015,"Atividades Administrativas","Serviços de Escritório","Teleatendimento",9,29,"1502.97","168332.9",112,12,"82202","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2015,"Indústrias de Transformação","Produtos e materiais elétricos","Fabricação de outros equipamentos e aparelhos elétricos",4,34,"1649.6","115472.16",70,17,"27902","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2015,"Indústrias de Transformação","Produtos Farmoquímicos e Farmacêuticos","Fabricação de medicamentos para uso humano",1,40,"2764.13","11056.54",4,4,"21211","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2015,"Comércio","Comércio Varejista","Varejo de eletrodomésticos e equipamentos de áudio e vídeo",57,33,"1982.07","816613.67",412,7,"47539","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2015,"Atividades Administrativas","Serviços para Edifícios","Limpeza em prédios e em domicílios",40,40,"1057.06","21421356.48",20265,506,"81214","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2015,"Indústrias de Transformação","Produtos de borracha e de material plástico","Fabricação de laminados planos e tubulares plástico",2,36,"1984.25","371056.5",187,93,"22218","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2015,"Educação","Educação","Ensino médio",6,39,"2487.21","706367.69",284,47,"85201","#d66011","/static/img/icons/industry_section/industry_section_p.png"
2015,"Comércio","Comércio Varejista","Varejo de hortifrutigranjeiros",29,34,"1446.77","128762.96",89,3,"47245","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2015,"Saúde e serviços sociais","Saúde Humana Integradas com Assistência Social","Assistência social prestadas em residências",2,44,"1695.92","166200.69",98,49,"87301","#800000","/static/img/icons/industry_section/industry_section_q.png"
2015,"Comércio","Comércio Atacadista","Atacado de mercadorias em geral",14,30,2278,"407763.3",179,12,"46931","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2015,"Informação e Comunicação","Serviços de Tecnologia da Informação","Desenvolvimento de programas de computador sob encomenda",11,30,"3393.71","285071.65",84,7,"62015","#57D200","/static/img/icons/industry_section/industry_section_j.png"
2015,"Indústrias de Transformação","Produtos eletrônicos","Fabricação de periféricos para equipamentos de informática",1,33,"2406.76","72202.94",30,30,"26221","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2015,"Indústrias de Transformação","Produtos eletrônicos","Fabricação de equipamentos de medida, teste e controle",1,28,"2230.59","28997.69",13,13,"26515","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2015,"Indústrias de Transformação","Produtos de minerais não-metálicos","Fabricação de artefatos de concreto e materiais semelhantes",35,39,"1946.19","760961.63",391,11,"23303","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2015,"Artes, Cultura e Recreação","Atividades Esportivas e de Recreação","Gestão de instalações de esportes",3,39,"1137.28","10235.57",9,3,"93115","#93789e","/static/img/icons/industry_section/industry_section_r.png"
2015,"Informação e Comunicação","Serviços de Tecnologia da Informação","Desenvolvimento softwares customizáveis",10,28,"2430.12","131226.82",54,5,"62023","#57D200","/static/img/icons/industry_section/industry_section_j.png"
2015,"Informação e Comunicação","Serviços de Tecnologia da Informação","Desenvolvimento softwares não-customizáveis",11,31,"2955.14","434406.03",147,13,"62031","#57D200","/static/img/icons/industry_section/industry_section_j.png"
2015,"Indústrias de Transformação","Produtos Alimentícios","Fabricação de alimentos e pratos prontos",1,35,"1422.18","58309.55",41,41,"10961","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2015,"Indústrias de Transformação","Produtos de metal","Fabricação de outros produtos de metal",19,35,"2213.42","478099.23",216,11,"25993","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2015,"Construção","Serviços Especializados para Construção","Outros serviços especializados para construção",34,35,"1585.63","697681.41",440,12,"43991","#E87600","/static/img/icons/industry_section/industry_section_f.png"
2015,"Comércio","Comércio Atacadista","Atacado de produtos siderúrgicos e metalúrgicos",3,35,"3884.53","97113.46",25,8,"46851","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2015,"Artes, Cultura e Recreação","Atividades Esportivas e de Recreação","Outras atividades de recreação e lazer",20,36,"1268.41","152210.02",120,6,"93298","#93789e","/static/img/icons/industry_section/industry_section_r.png"
2015,"Indústrias de Transformação","Produtos Alimentícios","Fabricação de conservas de legumes e outros vegetais",4,38,"1516.38","84917.74",56,14,"10325","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2015,"Informação e Comunicação","Prestação de Serviços de Informação","Outras atividades de prestação de serviços de informação",6,37,"1401.91","63086.13",45,7,"63992","#57D200","/static/img/icons/industry_section/industry_section_j.png"
2015,"Construção","Serviços Especializados para Construção","Demolição e preparação de canteiros de obras",1,41,"2189.4","32841.04",15,15,"43118","#E87600","/static/img/icons/industry_section/industry_section_f.png"
2015,"Comércio","Comércio Atacadista","Atacado de máquinas e equipamentos para uso agropecuário",3,37,"4567.52","63945.29",14,4,"46613","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2015,"Serviços Especializados","Atividades jurídicas, de contabilidade e de auditoria","Cartórios",7,29,"2291.6","320824.5",140,20,"69125","#cc0000","/static/img/icons/industry_section/industry_section_m.png"
2015,"Indústrias de Transformação","Produtos de metal","Fabricação de tanques e caldeiras para aquecimento central",1,44,"2405.72","62548.86",26,26,"25217","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2015,"Serviços Especializados","Publicidade e pesquisa de mercado","Agenciamento de espaços para publicidade",6,35,"2291.93","84801.63",37,6,"73122","#cc0000","/static/img/icons/industry_section/industry_section_m.png"
2015,"Comércio","Comércio Varejista","Varejo de livros, jornais, revistas e papelaria",50,32,"1753.5","329658.41",188,3,"47610","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2015,"Transporte e correio","Transporte Terrestre","Transporte rodoviário coletivo de passageiros intermunicipal",6,42,"1231.7","124401.71",101,16,"49221","#9edae5","/static/img/icons/industry_section/industry_section_h.png"
2015,"Informação e Comunicação","Prestação de Serviços de Informação","Serviços de hospedagem na internet",6,37,"2195.24","43904.81",20,3,"63119","#57D200","/static/img/icons/industry_section/industry_section_j.png"
2015,"Outros Serviços","Reparação e Manutenção de Equipamentos","Manutenção de objetos e equipamentos domésticos",20,36,"1341.83","69775.2",52,2,"95291","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2015,"Indústrias de Transformação","Produtos de borracha e de material plástico","Reforma de pneumáticos usados",4,38,"1661.43","73103.3",44,11,"22129","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2015,"Indústrias de Transformação","Produtos Químicos","Fabricação de produtos de limpeza",7,30,"2037.61","105956.05",52,7,"20622","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
