"year","industry_section","industry_division","industry_class","establishment_count","average_age","average_wage","wage","jobs","average_establishment_size","ID CNAE","color","icon"
2009,"Serviços Especializados","Publicidade e pesquisa de mercado","Agências de publicidade",8,30,"992.26","17860.85",18,2,"73114","#cc0000","/static/img/icons/industry_section/industry_section_m.png"
2009,"Atividades Financeiras","Serviços Financeiros","Crédito cooperativo",1,26,"1460.87","11687.03",8,8,"64247","#408e60","/static/img/icons/industry_section/industry_section_k.png"
2009,"Comércio","Comércio Atacadista","Atacado de produtos químicos e petroquímicos",1,27,"1065.42","1065.42",1,1,"46842","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2009,"Comércio","Comércio Atacadista","Atacado de ferragens e ferramentas",6,31,"840.94","15137.09",18,3,"46729","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2009,"Comércio","Comércio Atacadista","Atacado de instrumentos e materiais para uso médico",4,28,"807.84","9694.11",12,3,"46451","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2009,"Indústrias de Transformação","Produtos Alimentícios","Fabricação de farinha de milho e derivados",1,23,530,530,1,1,"10643","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2009,"Artes, Cultura e Recreação","Atividades Esportivas e de Recreação","Outras atividades esportivas",2,28,"504.8",2524,5,2,"93191","#93789e","/static/img/icons/industry_section/industry_section_r.png"
2009,"Transporte e correio","Transporte Terrestre","Transporte rodoviário coletivo de passageiros intermunicipal",5,28,"915.5","56761.56",62,12,"49221","#9edae5","/static/img/icons/industry_section/industry_section_h.png"
2009,"Indústrias de Transformação","Produtos de borracha e de material plástico","Fabricação de pneumáticos",1,36,"656.2",3281,5,5,"22111","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2009,"Construção","Obras de Infra-estrutura","Construção de rodovias e ferrovias",2,38,"1300.06","131306.54",101,50,"42111","#E87600","/static/img/icons/industry_section/industry_section_f.png"
2009,"Outros Serviços","Organizações Associativas","Associações de defesa de direitos sociais",24,36,"1041.28","206174.82",198,8,"94308","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2009,"Outros Serviços","Organizações Associativas","Organizações sindicais",7,32,"1142.01","34260.49",30,4,"94201","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2009,"Transporte e correio","Transporte Terrestre","Transporte escolar",1,42,"886.63","2659.89",3,3,"49248","#9edae5","/static/img/icons/industry_section/industry_section_h.png"
2009,"Artes, Cultura e Recreação","Atividades Esportivas e de Recreação","Clubes sociais, esportivos e similares",7,44,"1962.14","80447.87",41,5,"93123","#93789e","/static/img/icons/industry_section/industry_section_r.png"
2009,"Indústrias de Transformação","Confecção e Vestuário","Confecção de roupas profissionais",1,36,"977.52","15640.45",16,16,"14134","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2009,"Atividades Administrativas","Aluguéis não-imobiliários","Aluguel de objetos do vestuário",2,44,"773.86","3095.44",4,2,"77233","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2009,"Serviços Especializados","Arquitetura e Engenharia","Arquitetura e engenharia",2,35,"734.62","4407.77",6,3,"71197","#cc0000","/static/img/icons/industry_section/industry_section_m.png"
2009,"Indústrias de Transformação","Produtos de minerais não-metálicos","Fabricação de artigos de vidro",1,27,"581.45","6977.41",12,12,"23192","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2009,"Outros Serviços","Outras atividades de serviços pessoais","Atividades funerárias",3,35,"1146.01","5730.07",5,1,"96033","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2009,"Outros Serviços","Organizações Associativas","Associações patronais e empresariais",2,29,"1110.94","13331.34",12,6,"94111","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2009,"Indústrias de Transformação","Bebidas","Fabricação de águas envasadas",2,33,"604.67","13302.86",22,11,"11216","#5E1F05","/static/img/icons/industry_section/industry_section_c.png"
2009,"Transporte e correio","Transporte Terrestre","Trens turísticos, teleféricos e similares",1,29,"1138.09","121775.76",107,107,"49507","#9edae5","/static/img/icons/industry_section/industry_section_h.png"
2009,"Serviços Especializados","Atividades jurídicas, de contabilidade e de auditoria","Cartórios",4,31,"1011.12","70778.76",70,17,"69125","#cc0000","/static/img/icons/industry_section/industry_section_m.png"
2009,"Comércio","Comércio Atacadista","Representantes comerciais de outros produtos",3,20,"667.16","3335.82",5,1,"46184","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2009,"Educação","Educação","Educação infantil - pré-escola",13,31,"799.63","178319.33",223,17,"85121","#d66011","/static/img/icons/industry_section/industry_section_p.png"
2009,"Atividades Administrativas","Agências de viagens","Operadores turísticos",1,35,"1179.66",7078,6,6,"79121","#b7834b","/static/img/icons/industry_section/industry_section_n.png"
2009,"Outros Serviços","Organizações Associativas","Associações profissionais",2,45,"1153.4","5767.04",5,2,"94120","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2003,"Comércio","Comércio Varejista","Varejo de artigos do vestuário",302,28,"496.94","477064.41",960,3,"47814","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Comércio","Comércio Varejista","Hipermercados e supermercados",19,26,"481.18","599073.71",1245,65,"47113","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Comércio","Comércio Varejista","Varejo de fármacos para uso humano e veterinário",97,28,"586.75","181893.27",310,3,"47717","#17bcef","/static/img/icons/industry_section/industry_section_g.png"
2003,"Outros Serviços","Organizações Associativas","Organizações sindicais",6,31,"698.86","11880.76",17,2,"94201","#c7c7c7","/static/img/icons/industry_section/industry_section_s.png"
2003,"Alojamento e Alimentação","Alojamento","Hotéis e similares",80,32,"526.6","754618.75",1433,17,"55108","#FFC41C","/static/img/icons/industry_section/industry_section_i.png"
