"year","country","continent","value","kg","color","icon","ID WLD","exports_per_weight","imports_per_weight"
2018,"Indonésia","Ásia",1479799,5312070,"#CC2A21","/static/img/icons/continent/continent_as.png","365","0.27857294802214577",
2018,"República Dominicana","América do Norte",42321,3656,"#080C79","/static/img/icons/continent/continent_na.png","647","11.575765864332604",
2018,"Espanha","Europa",172565,27000,"#823783","/static/img/icons/continent/continent_eu.png","245","6.3912962962962965",
2006,"Aruba","América do Norte",4200,550,"#080C79","/static/img/icons/continent/continent_na.png","065","7.636363636363637",
2008,"África do Sul","África",3470,1935,"#FEC932","/static/img/icons/continent/continent_af.png","756","1.79328165374677",
2008,"Estados Unidos","América do Norte",240,3,"#080C79","/static/img/icons/continent/continent_na.png","249",80,
2010,"Japão","Ásia",949,4,"#CC2A21","/static/img/icons/continent/continent_as.png","399","237.25",
2011,"Índia","Ásia",2553,130,"#CC2A21","/static/img/icons/continent/continent_as.png","361","19.638461538461538",
2013,"Hong Kong","Ásia",3712,184,"#CC2A21","/static/img/icons/continent/continent_as.png","351","20.17391304347826",
2013,"Bélgica","Europa",44648,15750,"#823783","/static/img/icons/continent/continent_eu.png","087","2.834793650793651",
2013,"Itália","Europa",2798,215,"#823783","/static/img/icons/continent/continent_eu.png","386","13.013953488372094",
2013,"Costa Rica","América do Norte",10,5,"#080C79","/static/img/icons/continent/continent_na.png","196",2,
2013,"Costa do Marfim","África",21105,3460,"#FEC932","/static/img/icons/continent/continent_af.png","193","6.0997109826589595",
2013,"Alemanha","Europa",4130,338,"#823783","/static/img/icons/continent/continent_eu.png","023","12.218934911242604",
2014,"Hong Kong","Ásia",128223,5298,"#CC2A21","/static/img/icons/continent/continent_as.png","351","24.20215175537939",
2014,"Coreia do Sul","Ásia",64903,108503,"#CC2A21","/static/img/icons/continent/continent_as.png","190","0.5981677925955964",
2014,"El Salvador","América do Norte",38285,5421,"#080C79","/static/img/icons/continent/continent_na.png","687","7.062350119904076",
2014,"Cingapura","Ásia",59160,246500,"#CC2A21","/static/img/icons/continent/continent_as.png","741","0.24",
2014,"Panamá","América do Norte",10320,884,"#080C79","/static/img/icons/continent/continent_na.png","580","11.67420814479638",
2015,"Canadá","América do Norte",1068,81,"#080C79","/static/img/icons/continent/continent_na.png","149","13.185185185185185",
2015,"Panamá","América do Norte",10858,914,"#080C79","/static/img/icons/continent/continent_na.png","580","11.879649890590809",
2016,"Finlândia","Europa",10176,757,"#823783","/static/img/icons/continent/continent_eu.png","271","13.442536327608982",
2017,"Cingapura","Ásia",5750,440,"#CC2A21","/static/img/icons/continent/continent_as.png","741","13.068181818181818",
2017,"Austrália","Oceânia",7756,2000,"#E98319","/static/img/icons/continent/continent_oc.png","069",3878,
2017,"Itália","Europa",13175,3060,"#823783","/static/img/icons/continent/continent_eu.png","386","4.305555555555555",
2018,"Mali","África",19462,49533,"#FEC932","/static/img/icons/continent/continent_af.png","464","0.3929097773201704",
2018,"Bulgária","Europa",1725,2,"#823783","/static/img/icons/continent/continent_eu.png","111","862.5",
2018,"Portugal","Europa",3448,184,"#823783","/static/img/icons/continent/continent_eu.png","607","18.73913043478261",
